title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,145814,"GB, GG, IE"
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1207251,"AD, ES, PT"
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,482721,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,248412,"BE, CH, IT, SM"
"Before Sunrise",movie,"Drama, Romance",1995,tt0112471,8.1,348534,"AU, CY, NZ, TR"
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1347815,KR
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,189177,"HK, KR, US"
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,294563,"AU, NZ, US"
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,186714,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1053040,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,543152,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Dirty Dancing",movie,"Drama, Music, Romance",1987,tt0092890,7.1,263144,CA
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,823517,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,219733,"IT, KR, NZ"
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,141022,"IT, KR, NZ"
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1669857,"CA, KR"
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,104715,ES
"Lock, Stock and Two Smoking Barrels",movie,"Action, Comedy, Crime",1998,tt0120735,8.1,625291,BE
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1272401,"CA, JP"
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11099,"DK, FI, NO, SE"
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,948510,"AE, AT, BH, CA, CH, DE, DZ, EE, EG, IL, IQ, IT, JO, KW, LB, LI, LT, LU, LV, LY, MA, MC, MT, NZ, OM, PS, QA, SA, SM, TN, TR, YE"
"Run Lola Run",movie,"Action, Crime, Thriller",1998,tt0130827,7.6,210382,"AT, CH, DE, LI"
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,926909,"AT, BE, CH, CY, DE, EE, FJ, GB, GG, GI, GR, HK, ID, IE, IL, IN, LI, LT, LU, LV, MT, MY, NZ, PH, PK, PT, SG, TH, TR, TW"
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,938697,"CA, US"
"Italian for Beginners",movie,"Comedy, Drama, Romance",2000,tt0243862,7,14041,"DK, FI, NO, SE"
"The Big Lebowski",movie,"Comedy, Crime",1998,tt0118715,8.1,874719,CA
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,540282,"AD, AT, BA, BE, BG, CH, CZ, DE, DK, ES, FI, FJ, FR, GF, HK, HR, HU, ID, IN, JP, KR, LI, LU, MC, MD, ME, MK, MY, NO, PF, PH, PK, PL, PT, RO, RS, SE, SG, SI, SK, TH, TW"
"The Lord of the Rings: The Fellowship of the Ring",movie,"Action, Adventure, Drama",2001,tt0120737,8.9,2055430,"CH, IN, IT, KR, SM"
"The Lord of the Rings: The Two Towers",movie,"Action, Adventure, Drama",2002,tt0167261,8.8,1826159,"CH, IN, IT, KR, SM"
"The Lord of the Rings: The Return of the King",movie,"Action, Adventure, Drama",2003,tt0167260,9,2025597,"CH, IN, IT, KR, SM"
"Princess Mononoke",movie,"Action, Adventure, Animation",1997,tt0119698,8.3,445579,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"Spirited Away",movie,"Adventure, Animation, Family",2001,tt0245429,8.6,877225,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"O Brother, Where Art Thou?",movie,"Comedy, Crime, Drama",2000,tt0190590,7.7,336275,"AU, GB, GG, GI, IE, NZ"
"Groundhog Day",movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,698814,"AD, AT, BE, DE, DZ, FR, GF, IL, JP, LI, LU, MA, MC, MU, PF, PL, TN, TR"
"Bad Education",movie,"Crime, Drama",2004,tt0275491,7.4,64146,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,392906,"FR, NL"
Akira,movie,"Action, Animation, Drama",1988,tt0094625,8,210443,"AG, AR, BE, BO, BR, CH, CL, CO, CR, CU, DO, EC, FR, GT, HK, HN, IT, JP, LC, LU, MX, NI, NL, PA, PE, PY, SM, SV, UY, VE"
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,501866,"CA, ES"
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2940459,"AD, AT, AU, BA, BG, CA, CH, CZ, DE, DK, ES, FI, HR, HU, IN, JP, KR, LI, LU, MD, ME, MK, NO, NZ, PL, PT, RO, RS, SE, SI, SK"
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,632117,"BE, HR"
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,420354,BE
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,479551,"AL, AT, AZ, BG, BR, BY, CA, CZ, DE, DK, EE, ES, FI, GB, GG, GI, GR, HR, HU, IE, IS, IT, KR, LI, LT, LU, LV, MC, MD, ME, MK, MT, NO, PL, PT, RO, RS, SE, SI, SK, SM, UA"
"Jackie Brown",movie,"Crime, Drama, Thriller",1997,tt0119396,7.5,382423,"AE, BH, DK, EG, FI, IQ, IS, IT, JO, KW, LB, LY, MC, MT, NO, OM, QA, SA, SE, SM, TR, YE"
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,172573,"AU, FJ, NZ, SG"
"The Name of the Rose",movie,"Drama, Mystery, Thriller",1986,tt0091605,7.7,119819,ES
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,805811,"JP, KR, TH"
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,68070,"AD, FR, GF, MC, PF"
"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,217262,"AL, AT, AZ, BG, BR, BY, CZ, DE, EE, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MD, ME, MK, MT, PL, RO, RS, SI, SK, UA"
"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,282683,"AL, AT, AZ, BG, BR, BY, CZ, DE, EE, ES, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MD, ME, MK, MT, PL, PT, RO, RS, SI, SK, UA"
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,496990,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,108719,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GF, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,135413,"BE, SG"
"Stand by Me",movie,"Adventure, Comedy, Drama",1986,tt0092005,8.1,452450,"AE, AG, AR, AZ, BB, BM, BO, BR, BS, BY, BZ, CA, CH, CL, CO, CR, CU, CY, DO, EC, FJ, GB, GF, GG, GI, GR, GT, HK, HN, ID, IE, IS, IT, JM, LC, MC, MD, MT, MX, MY, NI, PA, PE, PH, PY, SG, SM, SV, TC, TH, TT, TW, UA, US, UY, VE"
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2062792,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BO, BR, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CZ, DE, DK, DO, DZ, EC, EG, ES, FI, FJ, FR, GF, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1393396,"AO, CI, CM, CV, GH, GQ, KE, MG, ML, MU, MZ, NE, NG, SC, SN, TZ, UG, ZA, ZM, ZW"
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34228,"AG, AR, BB, BO, BR, BZ, CL, CO, CR, CU, DO, EC, ES, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1611009,"AD, AT, AU, BA, BG, CA, CH, CZ, DE, DK, ES, FI, FJ, HK, HR, HU, ID, IN, JP, KR, LI, LU, MD, ME, MK, MY, NO, NZ, PH, PK, PL, PT, RO, RS, SE, SG, SI, SK, TH, TW"
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2958776,"AD, BA, BE, BG, CA, CV, CZ, ES, GQ, HR, HU, IN, MD, ME, MK, MZ, NL, PL, PT, RO, RS, SI, SK"
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1200957,"AD, AE, AO, AR, AU, BE, BH, BO, BR, BZ, CA, CH, CL, CO, CR, CV, CY, DK, DZ, EC, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HK, HN, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LU, LY, MA, MC, MX, MZ, NG, NI, NO, NZ, OM, PA, PE, PF, PL, PS, PT, PY, QA, SA, SC, SE, SV, TN, TR, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
"A River Runs Through It",movie,Drama,1992,tt0105265,7.2,66760,KR
"Terminator 3: Rise of the Machines",movie,"Action, Sci-Fi",2003,tt0181852,6.3,423735,"AE, BH, DZ, EE, EG, IQ, JO, KW, LB, LY, MA, OM, PS, QA, SA, TN, YE"
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,372567,BE
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49110,"BG, EE, GR, IS, KR, LI, LT, LV, NL, PT, RO"
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,95977,"ES, IT, KR, NZ"
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,127561,BE
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,494499,"AD, AT, BE, CH, DE, ES, IT, LI, LU, PT, SM"
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,269174,"BE, DK, FI, LU, MT, NL, NO, SE"
"A Fistful of Dollars",movie,"Action, Drama, Western",1964,tt0058461,7.9,238346,"AT, CH, DE, IT, LI, SM"
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,204402,"BE, CA, NL"
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,822155,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CA, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
"Driving Miss Daisy",movie,"Comedy, Drama",1989,tt0097239,7.3,119186,KR
"Summer in Berlin",movie,Drama,2005,tt0477877,6.9,3001,"AT, CH, DE"
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,937182,"AR, BO, BR, BZ, CL, CO, CR, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,487654,"AD, AE, AL, AO, BA, BE, BG, BH, CA, CH, CI, CM, CV, CY, CZ, DZ, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GQ, GR, HK, HR, HU, ID, IE, IL, IQ, JO, JP, KE, KR, KW, LB, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MU, MY, MZ, NE, NG, NL, OM, PF, PH, PL, PS, PT, QA, RO, RS, SA, SC, SG, SI, SK, SN, TD, TH, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1003711,"AL, HR, JO, PK"
Sissi,movie,"Comedy, Drama, History",1955,tt0048624,7,10219,"AT, CH, DE"
"Sissi: The Young Empress",movie,"Drama, History",1956,tt0049762,6.6,7492,"AT, CH, DE"
"Sissi: The Fateful Years of an Empress",movie,"Drama, History, Romance",1957,tt0050974,6.6,6127,"AT, CH, DE"
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.4,227000,"AL, BA, BG, CH, CZ, DZ, FR, GB, GF, GG, GI, HR, HU, IE, MA, MC, ME, MK, MU, PF, PL, RO, RS, SI, SK, TN"
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18458,"DK, FI, NO, SE"
"My Own Private Idaho",movie,Drama,1991,tt0102494,7,63257,JP
"The African Queen",movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,85559,"BG, CY, CZ, DK, EE, FI, GR, HR, HU, IS, IT, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,202746,"DK, FI, NO, SE"
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1442804,"AD, AE, AL, AZ, BA, BE, BG, BH, BY, CH, CZ, DZ, EE, EG, FJ, FR, GB, GF, GG, GI, HK, HR, HU, ID, IE, IL, IN, IQ, IT, JO, KW, LB, LT, LU, LV, LY, MA, MC, MD, ME, MK, MT, MY, NL, OM, PF, PH, PK, PL, PS, QA, RO, RS, SA, SG, SI, SK, SM, TH, TN, TW, UA, YE"
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,111732,JP
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,165025,KR
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,55001,"AG, AR, BB, BM, BO, BS, BZ, CA, CL, CO, CR, DO, EC, GG, GT, HN, IE, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,537975,"AD, AE, AL, AZ, BA, BG, BH, BY, CH, CY, CZ, DK, DZ, EE, EG, ES, FI, GR, HK, HR, HU, IL, IQ, IS, IT, JO, JP, KR, KW, LB, LT, LV, LY, MA, MC, MD, ME, MK, NO, OM, PL, PS, PT, QA, RO, RS, SA, SE, SI, SK, TN, TR, TW, YE"
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,352457,"AD, AU, BE, CH, ES, FJ, FR, GB, GF, GG, GI, HK, ID, IE, IN, LU, MC, MY, NL, NZ, PF, PH, PK, SG, TH, TW"
"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1091852,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,576621,"AU, IL, JP, KR, NZ"
"Once Were Warriors",movie,"Crime, Drama",1994,tt0110729,7.9,37560,"AU, FJ, NZ"
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,148649,US
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,381859,"AO, BE, CI, CM, CV, DK, DZ, EE, FI, GB, GG, GH, GI, GQ, IE, IN, IS, KE, LT, LU, LV, MG, ML, MT, MZ, NE, NG, NL, NO, NZ, PK, PL, SC, SE, SN, TN, TZ, UG, ZA, ZM, ZW"
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,60732,"AZ, BY, JP, LT, LV, UA"
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,734717,US
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,184685,JP
"Fight Club",movie,Drama,1999,tt0137523,8.8,2390831,PK
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,900744,"AD, AE, AG, AL, AO, AR, AT, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EE, EG, ES, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IN, IQ, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SI, SK, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,727244,"AD, AE, AL, AO, AT, BA, BE, BG, BH, CH, CI, CM, CV, CY, CZ, DE, DZ, EE, EG, ES, FR, GF, GH, GQ, GR, HR, HU, IQ, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MT, MU, MZ, NE, NG, OM, PF, PL, PS, PT, QA, RO, RS, SA, SC, SI, SK, SN, TN, TR, TZ, UG, YE, ZA, ZM, ZW"
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,652777,"AD, AE, AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BH, BM, BO, BR, BS, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DO, DZ, EC, EE, EG, ES, GF, GH, GQ, GR, GT, HN, HR, HU, IN, IQ, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, ME, MG, MK, ML, MT, MX, MZ, NE, NG, NI, NZ, OM, PA, PE, PK, PL, PS, PY, QA, RO, RS, SA, SC, SI, SK, SN, SV, TC, TN, TR, TT, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,383143,"AD, AT, BE, CH, DE, ES, FJ, HK, HR, ID, IN, JP, LI, LU, MY, PH, PK, PT, SG, TH, TW"
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,472200,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HN, HR, HU, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, SV, TC, TD, TN, TR, TT, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW"
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,209368,"AG, AR, BB, BM, BO, BS, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE"
"Next Door",movie,"Mystery, Thriller",2005,tt0453383,6.4,10762,"DE, ES, GB, IT"
