title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1091852,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, NL, PA, PE, PY, SV, TC, TT, UY, VE"
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,148649,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,381859,US
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,734717,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Crime of Padre Amaro",movie,"Drama, Romance",2002,tt0313196,6.7,14558,PT
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,900744,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,727244,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,652777,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,383143,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, GY, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PY, SE, SV, TC, TT, UY, VE"
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,472200,"BE, FR, MC"
