title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,184685,GB
"The Poseidon Adventure",movie,"Action, Adventure, Drama",1972,tt0069113,7.1,50172,US
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,472200,AU
"The Ring",movie,"Horror, Mystery",2002,tt0298130,7.1,383234,IT
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,320953,"AU, US"
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,209368,AU
"To Die For",movie,"Comedy, Crime, Drama",1995,tt0114681,6.8,54809,US
Jaws,movie,"Adventure, Drama, Thriller",1975,tt0073195,8.1,678183,AU
"Jaws: The Revenge",movie,"Adventure, Horror, Thriller",1987,tt0093300,3,50694,AU
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,303488,AU
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,248916,CA
"The Hours",movie,"Drama, Romance",2002,tt0274558,7.5,142315,"AU, US"
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,465483,US
"The Conversation",movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,125224,"AT, CH, DE, FR, GB, IE, IT, US"
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,504840,"AT, CA, CH, DE, FR, GB, IE, IT, US"
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1311163,"CA, US"
"Sunset Boulevard",movie,"Drama, Film-Noir",1950,tt0043014,8.4,241521,"AT, CH, DE, FR, GB, IE, IT, US"
"E.T. the Extra-Terrestrial",movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,445607,AU
Munich,movie,"Action, Drama, History",2005,tt0408306,7.5,243005,"AT, CH, DE, FR, GB, IE, IT"
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,117237,"DE, GB"
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,133753,US
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,462125,US
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,307453,"AT, CA, CH, DE, FR, GB, IE, IT, US"
"The Ninth Gate",movie,"Mystery, Thriller",1999,tt0142688,6.7,201116,"BR, CL, CO, IN, MX"
"A Fish Called Wanda",movie,"Comedy, Crime",1988,tt0095159,7.5,156502,BR
"The Killing Fields",movie,"Biography, Drama, History",1984,tt0087553,7.8,60545,DE
"Un chien andalou",movie,"Fantasy, Horror, Short",1929,tt0020530,7.6,54541,GB
Sunrise,movie,"Drama, Romance",1927,tt0018455,8.1,54535,GB
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,268640,"AU, BR, CL, CO, MX"
"Angel Heart",movie,"Horror, Mystery, Thriller",1987,tt0092563,7.2,97854,US
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,758030,IT
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1127639,"CA, US"
"Battleship Potemkin",movie,"Drama, History, Thriller",1925,tt0015648,7.9,62359,GB
"A.I. Artificial Intelligence",movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,327241,"AT, CA, CH, DE, FR, GB, IE, IT, US"
